State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Haryana,Bhiwani,127114,False,True,,,,,False,True,,False
Haryana,Bhiwani,127201,False,True,,,,,False,True,,False
Haryana,Bhiwani,127306,True,True,,,,,False,True,,False
Haryana,Bhiwani,127307,True,True,,,,,False,True,,False
Haryana,Bhiwani,127308,True,True,,,,,False,True,,False
Haryana,Bhiwani,127309,True,True,,,,,False,True,,False
Haryana,Bhiwani,127310,True,True,,,,,False,True,,False
Haryana,Sonipat,131001,True,True,,,,,False,True,,False
Haryana,Sonipat,131021,True,True,,,,,False,True,,False
Haryana,Sonipat,131022,True,True,,,,,False,True,,False
Haryana,Sonipat,131023,False,True,,,,,False,True,,False
Haryana,Sonipat,131024,True,True,,,,,False,True,,False
Haryana,Sonipat,131027,True,True,,,,,False,True,,False
Haryana,Sonipat,131028,True,True,,,,,False,True,,False
Haryana,Sonipat,131029,True,True,,,,,False,True,,False
Haryana,Sonipat,131030,False,True,,,,,False,True,,False
Haryana,Sonipat,131039,True,True,,,,,False,True,,False
Haryana,Sonipat,131101,True,True,,,,,False,True,,False
Haryana,Sonipat,131102,False,True,,,,,False,True,,False
Haryana,Sonipat,131103,True,True,,,,,False,True,,False
Haryana,Sonipat,131301,True,True,,,,,False,True,,False
Haryana,Sonipat,131302,True,True,,,,,False,True,,False
Haryana,Sonipat,131303,False,True,,,,,False,True,,False
Haryana,Sonipat,131304,True,True,,,,,False,True,,False
Haryana,Sonipat,131305,False,True,,,,,False,True,,False
Haryana,Sonipat,131306,True,True,,,,,False,True,,False
Haryana,Sonipat,131402,True,True,,,,,False,True,,False
Haryana,Sonipat,131403,True,True,,,,,False,True,,False
Haryana,Sonipat,131408,True,True,,,,,False,True,,False
Haryana,Sonipat,131409,True,True,,,,,False,True,,False
Haryana,Karnal,132001,True,True,,,,,False,True,,False
Haryana,Karnal,132022,True,True,,,,,False,True,,False
Haryana,Karnal,132023,False,True,,,,,False,True,,False
Haryana,Karnal,132024,False,True,,,,,False,True,,False
Haryana,Karnal,132026,False,True,,,,,False,True,,False
Haryana,Karnal,132036,False,True,,,,,False,True,,False
Haryana,Karnal,132037,True,True,,,,,False,True,,False
Haryana,Karnal,132039,True,True,,,,,False,True,,False
